system:index,area,indexed,system:time_start,.geo
2006_04_23,35094.0,0.9885912279219133,1145750400000,
2006_05_09,18481.0,0.5206062142595566,1147132800000,
2006_05_25,6471.0,0.1822868249809854,1148515200000,
2006_06_10,6868.0,0.19347023859827037,1149897600000,
2006_06_26,7321.0,0.20623116144116735,1151280000000,
2006_07_12,8223.482352941177,0.23165391568610882,1152662400000,
2006_07_28,9100.0,0.25634524916194823,1154044800000,
2006_08_13,9952.0,0.28034592523733065,1155427200000,
2006_08_29,10891.0,0.30679737457393164,1156809600000,
2006_09_14,10856.0,0.30581143130792415,1158192000000,
2006_09_30,11106.482352941177,0.31286747099752604,1159574400000,
2006_10_16,11267.0,0.31738922223161214,1160956800000,
2006_11_01,11099.482352941177,0.31267028234432453,1162339200000,
2006_11_17,10074.0,0.28378264176455675,1163721600000,
2006_12_03,8655.352941176472,0.24381962706488836,1165104000000,
2006_12_19,8113.870588235294,0.22856617336362417,1166486400000,
2007_01_01,7134.0,0.20096340741992733,1167609600000,
2007_01_17,8304.0,0.23392208231217781,1168992000000,
2007_02_02,21760.0,0.6129750133806586,1170374400000,
2007_02_18,32745.482352941177,0.9224339376585587,1171756800000,
2007_03_06,38411.0,1.0820304797318234,1173139200000,
2007_03_22,41328.0,1.164201808501648,1174521600000,
2007_04_07,41496.0,1.1689343361784839,1175904000000,
2007_04_23,38924.0,1.0964815910307333,1177286400000,
2007_05_09,20941.623529411765,0.5899215056596457,1178668800000,
2007_05_25,11055.482352941177,0.31143081080991514,1180051200000,
2007_06_10,8818.482352941177,0.2484149512082362,1181433600000,
2007_06_26,8897.141176470588,0.2506307551331189,1182816000000,
2007_07_12,9609.482352941177,0.27069726902000557,1184198400000,
2007_07_28,10937.0,0.3080931857235415,1185580800000,
2007_08_13,13327.0,0.3754190258880532,1186963200000,
2007_08_29,15169.482352941177,0.42732139927719587,1188345600000,
2007_09_14,15991.482352941177,0.45047698112457185,1189728000000,
2007_09_30,15557.0,0.43823769683653063,1191110400000,
2007_10_16,16412.0,0.46232288233471364,1192492800000,
2007_11_01,15539.105882352942,0.4377336229852374,1193875200000,
2007_11_17,15194.623529411765,0.42802962138121536,1195257600000,
2007_12_03,13926.24705882353,0.3922997002401062,1196640000000,
2007_12_19,13845.623529411765,0.39002855092852656,1198022400000,
2008_01_01,12030.24705882353,0.3388897450301003,1199145600000,
2008_01_17,11084.870588235295,0.31225867174386024,1200528000000,
2008_02_02,15846.0,0.44637877123299247,1201910400000,
2008_02_18,28690.0,0.8081917800501422,1203292800000,
2008_03_05,34962.0,0.984872813318685,1204675200000,
2008_03_21,36249.623529411765,1.021144920403723,1206057600000,
2008_04_06,36660.623529411765,1.0327227113274111,1207440000000,
2008_04_22,34954.0,0.9846474548578833,1208822400000,
2008_05_08,29117.0,0.8202202878954337,1210204800000,
2008_05_24,16897.482352941177,0.4759988268103658,1211587200000,
2008_06_09,14736.482352941177,0.4151238725863032,1212969600000,
2008_06_25,15042.482352941177,0.4237438337119687,1214352000000,
2008_07_11,15436.105882352942,0.43483213280241534,1215734400000,
2008_07_27,17685.105882352942,0.49818603009529683,1217116800000,
2008_08_12,18423.0,0.5189723654187441,1218499200000,
2008_08_28,19324.0,0.5443533620665371,1219881600000,
2008_09_13,20939.0,0.5898476013408829,1221264000000,
2008_09_29,20705.623529411765,0.5832734310659953,1222646400000,
2008_10_15,19733.623529411765,0.5558923780785872,1224028800000,
2008_10_31,19783.0,0.5572833037550353,1225411200000,
2008_11_16,20839.24705882353,0.5870375801803862,1226793600000,
2008_12_02,19100.24705882353,0.5380502847636139,1228176000000,
2008_12_18,17153.0,0.4831967097664723,1229558400000,
2009_01_01,16203.623529411765,0.4564529572498314,1230768000000,
2009_01_17,17671.623529411765,0.4978062348069457,1232150400000,
2009_02_02,19750.0,0.5563537001042282,1233532800000,
2009_02_18,26836.623529411765,0.7559825214629078,1234915200000,
2009_03_06,31326.0,0.8824473928843066,1236297600000,
2009_03_22,30863.0,0.8694047719654074,1237680000000,
2009_04_07,33652.0,0.9479703653624045,1239062400000,
2009_04_23,30828.0,0.8684188286994,1240444800000,
2009_05_09,25408.0,0.7157384715062396,1241827200000,
2009_05_25,20252.0,0.5704949435195358,1243209600000,
2009_06_10,19283.0,0.5431983999549284,1244592000000,
2009_06_26,19741.0,0.5561001718358264,1245974400000,
2009_07_12,19654.0,0.5536493985746077,1247356800000,
2009_07_28,18984.623529411765,0.5347931921860268,1248739200000,
2009_08_13,19043.0,0.536437646130877,1250121600000,
2009_08_29,22090.0,0.6222710498887293,1251504000000,
2009_09_14,22063.623529411765,0.621528029787086,1252886400000,
2009_09_30,21143.623529411765,0.595611806794889,1254268800000,
2009_10_16,22463.0,0.6327783881236091,1255651200000,
2009_11_01,21696.0,0.6111721456942449,1257033600000,
2009_11_17,21283.482352941177,0.5995516029449048,1258416000000,
2009_12_03,20195.623529411765,0.5689068291898861,1259798400000,
2009_12_19,19848.870588235295,0.5591388655521365,1261180800000,
2010_01_01,21042.729411764707,0.592769638912778,1262304000000,
2010_01_17,24923.49411764706,0.7020900340191853,1263686400000,
2010_02_02,28974.0,0.816192005408603,1265068800000,
2010_02_18,32294.0,0.9097157666413138,1266451200000,
2010_03_06,33569.0,0.9456322713315868,1267833600000,
2010_03_22,34901.0,0.9831544550550719,1269216000000,
2010_04_07,34919.0,0.9836615115918759,1270598400000,
2010_04_23,30742.623529411765,0.8660137899493441,1271980800000,
2010_05_09,21635.0,0.6094537874306318,1273363200000,
2010_05_25,19378.0,0.5458745316769487,1274745600000,
2010_06_10,19173.0,0.5400997211189048,1276128000000,
2010_06_26,19661.0,0.5538465872278092,1277510400000,
2010_07_12,19011.0,0.5355362122876701,1278892800000,
2010_07_28,19459.0,0.548156286092566,1280275200000,
2010_08_13,22101.0,0.6225809177723316,1281657600000,
2010_08_29,21631.0,0.609341108200231,1283040000000,
2010_09_14,22012.0,0.6200738048959126,1284422400000,
2010_09_30,20491.0,0.5772275275359869,1285804800000,
2010_10_16,21394.0,0.6026648637989802,1287187200000,
2010_11_01,21367.0,0.6019042789937745,1288569600000,
2010_11_17,22451.623529411765,0.632457915135969,1289952000000,
2010_12_03,20999.870588235295,0.5915623140999829,1291334400000,
2010_12_19,18749.0,0.528155722696414,1292716800000,
2011_01_01,20889.0,0.5884391109608721,1293840000000,
2011_01_17,23598.482352941177,0.6647647075394004,1295222400000,
2011_02_02,30616.0,0.8624468294881545,1296604800000,
2011_02_18,33202.0,0.9352939519423082,1297987200000,
2011_03_06,35008.0,0.9861686244682949,1299369600000,
2011_03_22,35728.0,1.006450885940449,1300752000000,
2011_04_07,36915.0,1.0398884475619032,1302134400000,
2011_04_23,35258.0,0.9932110763683484,1303516800000,
2011_05_09,28793.0,0.8110932702329643,1304899200000,
2011_05_25,25248.0,0.7112313022902054,1306281600000,
2011_06_10,23399.0,0.6591453280374096,1307664000000,
2011_06_26,23659.0,0.6664694780134651,1309046400000,
2011_07_12,24707.0,0.6959914363784895,1310428800000,
2011_07_28,25939.0,0.7306966393419533,1311811200000,
2011_08_13,27738.0,0.7813741232147384,1313193600000,
2011_08_29,29626.0,0.8345587199639426,1314576000000,
2011_09_14,29898.0,0.8422209076312008,1315958400000,
2011_09_30,29461.0,0.8299107017099073,1317340800000,
2011_10_16,28897.482352941177,0.814036518012935,1318723200000,
2011_11_01,27449.0,0.7732330488182766,1320105600000,
2011_11_17,24589.482352941177,0.6926809868712126,1321488000000,
2011_12_03,20997.482352941177,0.5914950379712436,1322870400000,
2011_12_19,20519.0,0.578016282148793,1324252800000,
2012_01_01,21474.0,0.6049184484069974,1325376000000,
2012_01_17,21890.0,0.6166370883686865,1326758400000,
2012_02_02,26191.482352941177,0.7378090186467556,1328140800000,
